op_type,type_occurrences,execution_frequency(per-step),total_compute_time,avg_time(ms),percent
BiasAddGrad,5625,3,27.2238,0.00483978,0.000589213
MaxPoolGrad,3750,2,13907.3,3.70861,0.301
ReLU,7500,4,611.037,0.0814716,0.0132249
Conv2D,3750,2,7548.54,2.01294,0.163376
Conv2DBackpropFilter,3750,2,7977.42,2.12731,0.172658
ApplyMomentum,15000,8,323.728,0.0215819,0.00700656
SparseSoftmaxCrossEntropyWithLogits,3750,2,56.1525,0.014974,0.00121533
ReluGrad,7500,4,533.526,0.0711368,0.0115473
Reshape,3750,2,36.8735,0.00983293,0.000798066
MaxPool,3750,2,8921.77,2.37914,0.193097
AssignAdd,1875,1,40.2672,0.0214758,0.000871517
BiasAdd,5625,3,45.7475,0.00813289,0.000990129
MatMul,16875,9,1252.47,0.0742204,0.0271076
Conv2DBackpropInput,1875,1,4921.53,2.62482,0.106518
